TIPOLOGIA,INFRAZIONE,RIFERIMENTI AL JUDGES' GUIDE,SANZIONE,NOTE,Column 6
DECK VS DECKLIST,CARTA (TRASFERIBILE) IN PIU' O IN MENO,,CAUTION,"ES. MONTREAL, FAME",
,"CARTA (NON TRASFERIBILE, NON STRATEGICA) IN PIU' O IN MENO",,WARNING,"ES. DECKLIST DA 90 CARTE, MAZZO DA 89 CARTE, SONO SEGNATI 10 GOVERN MA NEL MAZZO CE NE SONO 9",
,CARTA MOLTO STRATEGICA/SITUAZIONALE IN PIU' O IN MENO,,DISQUALIFICATION,"ES. DIRECT, ARCHON INVESTIGATION",
,CARTA DIVERSA NEL MAZZO,,WARNING,"ES. AL POSTO DI UNA RADIO CE N'E' UN'ALTRA, AL POSTO DI LOST IN CROWDS C'E' INTO THIN AIR
DATO CHE IL MAZZO E' GIA' STATO GIOCATO, SI LASCIA COM'E' E SI CORREGGE LA DECKLIST",
,DIFFERENZE PIU' MARCATE NEL MAZZO,,GAME LOSS,,
,DECKLIST ILLEGALE (MAZZO LEGALE),101,WARNING,IL GIOCATORE DEVE CORREGGE LA DECKLIST IN MODO CHE SIA UGUALE AL MAZZO,
,MAZZO ILLEGALE (DECKLIST LEGALE),102,GAME LOSS,IL GIOCATORE DEVE ADEGUARE IL MAZZO ALLA DECKLIST,
,DECKLIST E MAZZO ILLEGALI,101,GAME LOSS,IL GIOCATORE DEVE RENDERE LEGALE LA DECKLIST E ADEGUARE IL MAZZO DI CONSEGUENZA,
,ALTRE PROPOSTE,,,,
,ALTRE PROPOSTE,,,,
DECK,BUSTE SEGNATE (SENZA SCHEMA APPARENTE),131,CAUTION,IL GIOCATORE DEVE SOSTITUIRE LE BUSTE DANNEGGIATE,
,BUSTE SEGNATE (CON SCHEMA),132,GAME LOSS,"IL REGOLAMENTO ASSUME CHE LA MARCATURA SIA NON INTENZIONALE. IN ASSENZA DI SPIEGAZIONI VALIDE, SE C'E' UNO SCHEMA SI PRESUME SIA INTENZIONALE E SI APPLICA LA SANZIONE PER 163.CHEATING - FRAUD (DISQUALIFICATION WITHOUT PRIZE)",
,ALTRE PROPOSTE,,,,
,ALTRE PROPOSTE,,,,
CARTE PESCATE,CARTA PESCATA IN MENO,124,CAUTION,"GENERALMENTE E' SOLO A SVANTAGGIO DEL GIOCATORE.
SE INVECE AD ESEMPIO CI SI DIMENTICA DI RIMPIAZZARE MAGIC OF THE SMITH PRIMA DI CERCARE NEL MAZZO => WARNING",
,CARTA PESCATA IN PIU' A INIZIO PARTITA,123,CAUTION,"IL GIOCATORE RIMESCOLA LE CARTE NEL MAZZO, POI PESCA IL NUMERO CORRETTO MENO 1. LA CARTA MANCANTE (CRIPTA O LIBRERIA) VIENE PESCATA DOPO CHE TUTTI I GIOCATORI HANNO COMPLETATO IL PRIMO TURNO",
,CARTA PESCATA IN PIU' DURANTE LA PARTITA,121,WARNING,"SI CONSIDERA PESCATA IN PIU' SOLO SE VISTA. SE CI SI ACCORGE DELL'ERRORE PRIMA CHE QUALCUNO ABBIA VISTO LA CARTA, SI RIMETTE A POSTO E SI PROCEDE SENZA SANZIONE.
NEGLI ALTRI CASI, SE E' CHIARO QUALE SIA LA CARTA EXTRA, SI RIMESCOLA QUELLA, ALTRIMENTI UNA CARTA A CASO. NEL RIMESCOLARE BISOGNA SALVAGUARDARE LE AREE DEL MAZZO GIA' ORDINATE (ES. EVENTUALI CARTE MESSE IN FONDO AL MAZZO PER EFFETTI)",
,CARTA VISTA/RIVELATA PER ERRORE MENTRE SI PESCA/TAGLIA,122,CAUTION,"COME SOPRA, SE NESSUNO HA VISTO LA CARTA, SI RIMETTE A POSTO E SI PROCEDE SENZA SANZIONE. LE CARTE VISTE/RIVELATE PER ERRORE SI RIMESCOLANO NEL MAZZO, SALVAGUARDANDO LE AREE GIA' ORDINATE (VEDI SOPRA)",
,ALTRE PROPOSTE,,,,
,ALTRE PROPOSTE,,,,
AZIONI DIMENTICATE,AZIONE NON OBBLIGATORIA DIMENTICATA SENZA AVER VISTO/RIVELATO/PESCATO CARTE,///,///,"ES. DIMENTICATO DI PRENDERE IL POOL DI EDGE MA HO GIA' USATO UNA BLOOD DOLL.
DI BASE, L'AZIONE DIMENTICATA E' PERSA. SI PUO' CONCEDERE DI RECUPERARLA SOLO SE TUTTI I GIOCATORI AL TAVOLO SONO D'ACCORDO",
,AZIONE NON OBBLIGATORIA DIMENTICATA DOPO AVER VISTO/RIVELATO/PESCATO CARTE,///,///,"ES. DIMENTICATO DI USARE UNA VESSEL MA HO GIA' GIOCATO E RIMPIAZZATO UNA MASTER, DIMENTICATO DI INFLUENZARE MA HO GIA' SCARTATO E RIMPIAZZATO.
L'AZIONE DIMENTICATA E' PERSA.",
,AZIONE OBBLIGATORIA DIMENTICATA,114,CAUTION,"ES. COSTI DA PAGARE NELLA UNLOCK, CACCE OBBLIGATORIE.
L'AZIONE DIMENTICATA DEVE ESSERE RECUPERATA. SE NECESSARIO, SI FA ROLLBACK.
SE PERO' SONO PASSATI INTERI TURNI O SONO STATE GIRATE TROPPE CARTE DALL'ERRORE, L'AZIONE NON SI RECUPERA PIU'",
,ALTRE PROPOSTE,,,,
,ALTRE PROPOSTE,,,,
ERRORI UTILIZZO CARTE,CARTA GIOCATA SENZA AVERE I REQUISITI,114,CAUTION,"SE NON SI HANNO I REQUISITI IN ASSOLUTO (ES. NESSUN VAMPIRO E' DEL CLAN RICHIESTO O HA LA DISCIPLINA RICHIESTA) SI RIPRENDE IN MANO LA CARTA E SI RIMESCOLA LA CARTA PESCATA IN PIU'
SE UN ALTRO VAMPIRO AVREBBE POTUTO GIOCARLA O LO STESSO VAMPIRO AVREBBE POTUTO GIOCARLA INFERIORE, VIENE CONSIDERATA GIOCATA NEL MODO LEGITTIMO",
,ERRORE (NON INTENZIONALE) NELL'UTILIZZO DELL'EFFETTO DI UNA PROPRIA CARTA,114,CAUTION,,
,ALTRE PROPOSTE,,,,
,ALTRE PROPOSTE,,,,
CONDOTTA IMPROPRIA,ACCORDO APPARENTEMENTE SVANTAGGIOSO,///,///,"A MENO CHE NON SIA MANIFESTAMENTE UN TENTATIVO DI BARARE, I GIUDICI NON DEVONO ENTRARE NEL MERITO DELLA VANTAGGIOSITA' DI UN ACCORDO. FA PARTE DELLE ABILITA' DI UN GIOCATORE CAPIRE QUANDO UN ACCORDO E' VANTAGGIOSO O MENO",
,AIUTO ESTERNO,,???,UNA PERSONA ESTERNA ALLA PARTITA FORNISCE SUGGERIMENTI O RIVELA CARTE IN MANO AD ALTRI GIOCATORI,
,SLOW PLAY,141 - 162,CAUTION - GAME LOSS,"IN CASO UN GIOCATORE SI PRENDA PIU' TEMPO DI QUANTO RAGIONEVOLE PER EFFETTUARE AZIONI DI GIOCO, IL JUDGE PUO' ASSEGNARE TEMPO EXTRA PER COMPENSARE QUELLO PERDUTO.
LA SANZIONE INFERIORE SI APPLICA PER SLOW PLAY NON INTENZIONALE (ES. GIOCATORE NUOVO INCERTO SU COSA FARE), MENTRE IL GAME LOSS SI APPLICA PER SLOW PLAY INTENZIONALE ",
,BARARE,163,DISQUALIFICATION WITHOUT PRIZE,"ES. AGGIUNGERSI POOL DI NASCOSTO, TOGLIERE INTENZIONALMENTE MENO POOL DI QUANTO PERSO, ALTERARE IL MAZZO IN MODO CHE L'ORDINE NON SIA CASUALE, PESCARE CARTE DA AREE NASCOSTE QUALI TASCHE O MANICHE, ECC...",
,ALTRE PROPOSTE,,,,
,ALTRE PROPOSTE,,,,